model,fold,regime_dimension,regime,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
mlp,1,volatility,low,0,6066,12,-0.079844108301,9017.5,1.48656445763,-0.0885435079578,-1.31625631884e-05,-1.31625631884e-05,-1.34101454942e-05,-0.115304053531,-0.117472874529,-1.12544912647,1.0923403822,0.416666666667
mlp,1,volatility,low,0.5,6066,12,-0.079844108301,9017.5,1.48656445763,-0.0885435079578,-1.31625631884e-05,-8.74907860701e-05,-8.77435565024e-05,-0.766419285974,-0.768633554961,-1.7796078091,0.439902882198,0.166666666667
mlp,1,volatility,low,1,6066,12,-0.079844108301,9017.5,1.48656445763,-0.0885435079578,-1.31625631884e-05,-0.000161819008952,-0.000162076967511,-1.41753451842,-1.41979423539,-2.43376649174,-0.212534617802,0
mlp,1,volatility,medium,0,5597,12,0.0639504440648,8450.75,1.50987135966,0.075674282241,1.14258431418e-05,1.14258431418e-05,1.09229218523e-05,0.100090385922,0.0956847954259,-0.856046503151,1.22074926311,0.5
mlp,1,volatility,medium,0.5,5597,12,0.0639504440648,8450.75,1.50987135966,0.075674282241,1.14258431418e-05,-6.4067724841e-05,-6.45667070218e-05,-0.561233269607,-0.565604353511,-1.52700474491,0.57184274137,0.166666666667
mlp,1,volatility,medium,1,5597,12,0.0639504440648,8450.75,1.50987135966,0.075674282241,1.14258431418e-05,-0.000139561292824,-0.000140056335896,-1.22255692514,-1.22689350245,-2.19796298667,-0.0770637803689,0
mlp,2,direction,down,0,5244,12,0.15529946722,7848.25,1.49661517925,0.197877829096,2.96146962662e-05,2.96146962662e-05,2.94871897953e-05,0.259424739292,0.258307782606,-0.897963943607,0.985599353791,0.666666666667
mlp,2,direction,down,0.5,5244,12,0.15529946722,7848.25,1.49661517925,0.197877829096,2.96146962662e-05,-4.52160626964e-05,-4.53443422188e-05,-0.39609270922,-0.397216437837,-1.55035880342,0.330075758286,0.333333333333
mlp,2,direction,down,1,5244,12,0.15529946722,7848.25,1.49661517925,0.197877829096,2.96146962662e-05,-0.000120046821659,-0.000120175874233,-1.05161015773,-1.05274065828,-2.20275366323,-0.32544783722,0
mlp,2,direction,flat,0,7283,12,0.353751529611,10730.25,1.47332829878,0.329676875759,4.85722270509e-05,4.85722270509e-05,4.88719652837e-05,0.425492708966,0.428118415885,0.0712133950812,1.15927492762,1
mlp,2,direction,flat,0.5,7283,12,0.353751529611,10730.25,1.47332829878,0.329676875759,4.85722270509e-05,-2.5094187888e-05,-2.4802082238e-05,-0.219825085899,-0.217266240405,-0.574801732307,0.504517248442,0.25
mlp,2,direction,flat,1,7283,12,0.353751529611,10730.25,1.47332829878,0.329676875759,4.85722270509e-05,-9.87606028269e-05,-9.84761297596e-05,-0.865142880764,-0.862650896694,-1.2208168597,-0.150240430739,0
