model,cost_bps,cohort_count,total_periods,mean_cohort_net_return,median_cohort_net_return,worst_cohort_net_return,best_cohort_net_return,mean_cohort_annualized_net_return,median_cohort_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction,pooled_mean_net_return,pooled_annualized_net_return,pooled_cumulative_net_log_return,mean_turnover
lightgbm,8.5,12,52092,-0.000270876462169,-0.000271162473038,-0.000303202726643,-0.000238315224955,-2.3728778086,-2.37538326381,-2.65605588539,-2.0876413706,0,-0.000270876462169,-2.3728778086,-14.1104966673,0.335065845043
lightgbm,8.6,12,52092,-0.000274227120619,-0.000274464419594,-0.000306640298631,-0.000241663531796,-2.40222957662,-2.40430831565,-2.68616901601,-2.11697253854,0,-0.000274227120619,-2.40222957662,-14.2850391673,0.335065845043
lightgbm,8.7,12,52092,-0.00027757777907,-0.00027776636615,-0.000310077870619,-0.000245011838638,-2.43158134465,-2.43323336748,-2.71628214662,-2.14630370647,0,-0.00027757777907,-2.43158134465,-14.4595816673,0.335065845043
lightgbm,8.8,12,52092,-0.00028092843752,-0.000281068312706,-0.000313515442607,-0.00024836014548,-2.46093311268,-2.46215841931,-2.74639527724,-2.1756348744,0,-0.00028092843752,-2.46093311268,-14.6341241673,0.335065845043
lightgbm,8.9,12,52092,-0.00028427909597,-0.000284370259263,-0.000316953014595,-0.000251708452322,-2.4902848807,-2.49108347114,-2.77650840785,-2.20496604234,0,-0.00028427909597,-2.4902848807,-14.8086666673,0.335065845043
lightgbm,9,12,52092,-0.000287629754421,-0.000287672205819,-0.000320390586583,-0.000255056759163,-2.51963664873,-2.52000852297,-2.80662153847,-2.23429721027,0,-0.000287629754421,-2.51963664873,-14.9832091673,0.335065845043
lightgbm,9.1,12,52092,-0.000290980412871,-0.000290974152375,-0.000323828158571,-0.000258405066005,-2.54898841675,-2.5489335748,-2.83673466908,-2.26362837821,0,-0.000290980412871,-2.54898841675,-15.1577516673,0.335065845043
lightgbm,9.2,12,52092,-0.000294331071322,-0.000294276098931,-0.000327265730559,-0.000261753372847,-2.57834018478,-2.57785862663,-2.8668477997,-2.29295954614,0,-0.000294331071322,-2.57834018478,-15.3322941673,0.335065845043
lightgbm,9.3,12,52092,-0.000297681729772,-0.000297578045487,-0.000330703302547,-0.000265101679689,-2.6076919528,-2.60678367847,-2.89696093031,-2.32229071407,0,-0.000297681729772,-2.6076919528,-15.5068366673,0.335065845043
lightgbm,9.4,12,52092,-0.000301032388223,-0.000300879992043,-0.000334140874535,-0.00026844998653,-2.63704372083,-2.6357087303,-2.92707406093,-2.35162188201,0,-0.000301032388223,-2.63704372083,-15.6813791673,0.335065845043
lightgbm,9.5,12,52092,-0.000304383046673,-0.000304181938599,-0.000337578446523,-0.000271798293372,-2.66639548886,-2.66463378213,-2.95718719154,-2.38095304994,0,-0.000304383046673,-2.66639548886,-15.8559216673,0.335065845043
lightgbm,9.6,12,52092,-0.000307733705123,-0.000307483885155,-0.000341016018511,-0.000275146600214,-2.69574725688,-2.69355883396,-2.98730032216,-2.41028421787,0,-0.000307733705123,-2.69574725688,-16.0304641673,0.335065845043
lightgbm,9.7,12,52092,-0.000311084363574,-0.000310785831711,-0.000344453590499,-0.000278494907056,-2.72509902491,-2.72248388579,-3.01741345278,-2.43961538581,0,-0.000311084363574,-2.72509902491,-16.2050066673,0.335065845043
lightgbm,9.8,12,52092,-0.000314435022024,-0.000314087778267,-0.000347891162487,-0.000281843213897,-2.75445079293,-2.75140893762,-3.04752658339,-2.46894655374,0,-0.000314435022024,-2.75445079293,-16.3795491673,0.335065845043
lightgbm,9.9,12,52092,-0.000317785680475,-0.000317389724824,-0.000351328734475,-0.000285191520739,-2.78380256096,-2.78033398945,-3.07763971401,-2.49827772167,0,-0.000317785680475,-2.78380256096,-16.5540916673,0.335065845043
lightgbm,10,12,52092,-0.000321136338925,-0.00032069167138,-0.000354766306464,-0.000288539827581,-2.81315432899,-2.80925904129,-3.10775284462,-2.52760888961,0,-0.000321136338925,-2.81315432899,-16.7286341673,0.335065845043
mlp,0,12,52092,7.83331754267e-06,8.58706826015e-06,-2.06597846136e-05,3.18586889537e-05,0.0686198616738,0.0752227179589,-0.180979713215,0.279082115234,0.75,7.83331754267e-06,0.0686198616738,0.408053177433,1.48619749674
mlp,0.1,12,52092,-7.02865742469e-06,-6.240160489e-06,-3.55497869172e-05,1.71086313633e-05,-0.0615710390403,-0.0546638058836,-0.311416133395,0.149871610743,0.25,-7.02865742469e-06,-0.0615710390403,-0.366136822567,1.48619749674
mlp,0.2,12,52092,-2.1890632392e-05,-2.10673892382e-05,-5.04397892208e-05,2.3585737729e-06,-0.191761939754,-0.184550329726,-0.441852553574,0.0206611062506,0.0833333333333,-2.1890632392e-05,-0.191761939754,-1.14032682257,1.48619749674
